epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.13403946,3.411138401581691,0.11879007,9.49762442173102
1,0.20197316,2.1647328856663828,0.2139423,2.1032949533217993
2,0.24391526,2.054748546618682,0.2757412,1.9881107379228642
3,0.28823617,1.978554910574204,0.31229967,1.9321959018707275
4,0.31961137,1.9214936502468891,0.3565705,1.8583373778905623
5,0.3388672,1.886126881226515,0.359375,1.8482729257681432
